date,primemover_id,cycle_count,nett_cycle_time_avg,travel_loaded_avg,stopped_loaded_avg,dumping_avg,travel_empty_avg,stopped_empty_avg,loading_avg
2022-05-23,7008,6,73.15,3.85,13.99,13.48,0.23,41.34,0.26
2022-05-24,7008,19,65.61,18.72,5.99,3.88,16.14,12.39,8.5
2022-05-25,7008,19,58.77,19.1,5.58,3.07,17.38,5.64,8.0
2022-05-26,7008,16,69.07,20.04,6.84,2.42,13.05,16.5,10.23
2022-05-27,7008,14,96.07,21.74,5.85,2.5,16.27,10.7,39.0
2022-05-28,7008,20,62.2,17.98,10.17,2.42,15.85,6.29,9.51
2022-05-29,7008,15,82.34,26.53,15.74,2.41,15.81,11.53,10.32
2022-05-30,7008,16,75.8,28.46,13.13,2.37,17.25,5.99,8.59
2022-05-31,7008,1,55.52,18.72,6.14,2.2,21.53,2.19,4.73
2022-06-04,7007,1,2334.43,19.32,50.55,4.19,0.87,2250.18,9.35
2022-06-04,7008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-06,7008,9,74.64,0.0,22.21,2.87,0.0,49.55,0.0
2022-06-06,7007,12,67.21,3.78,0.42,2.38,28.38,20.06,12.19
2022-06-07,7008,21,56.06,0.0,21.91,4.91,0.0,29.24,0.0
2022-06-07,7007,18,68.14,14.43,5.22,2.75,24.36,12.29,9.09
2022-06-08,7007,17,72.59,8.38,3.56,7.43,34.14,10.45,8.63
2022-06-08,7008,24,46.98,0.0,17.41,1.97,0.0,27.6,0.0
2022-06-09,7008,14,81.9,0.0,16.64,2.27,0.0,62.99,0.0
2022-06-09,7007,9,144.99,13.84,67.14,2.57,32.02,17.57,11.86
2022-06-10,7007,10,100.19,11.69,4.04,2.81,26.52,45.35,9.78
2022-06-10,7008,8,97.41,22.66,5.97,10.4,16.04,30.4,11.94
2022-06-11,7007,15,84.67,21.06,13.29,7.76,22.69,11.48,8.39
2022-06-11,7008,17,68.99,19.36,5.18,8.42,17.24,11.34,7.46
2022-06-12,7008,11,121.11,20.02,12.36,2.44,29.74,44.79,11.75
2022-06-12,7007,13,87.28,2.41,5.26,2.49,31.49,32.55,13.08
2022-06-13,7008,10,115.37,29.98,38.43,5.39,18.14,13.88,9.56
2022-06-13,7007,13,98.84,8.18,25.01,2.64,34.3,18.24,10.47
2022-06-14,7008,7,74.22,16.18,9.51,2.94,20.07,30.23,18.81
2022-06-14,7007,11,135.34,29.45,22.12,8.8,30.36,33.23,11.38
2022-06-15,7007,6,100.51,19.84,24.45,5.55,14.23,32.07,6.57
2022-10-30,7007,1,663.68,0.0,634.92,2.43,20.51,4.63,1.2
2022-11-01,7007,2,285.31,10.44,7.22,2.66,55.97,175.75,33.28
2022-11-02,7007,10,116.91,9.81,4.69,48.62,27.28,9.3,17.2
2022-11-03,7007,2,1776.94,19.48,11.34,5.91,22.9,1701.22,16.07
2022-11-04,7008,1,2218.02,3.57,2160.92,2.75,23.1,21.96,5.74
2022-11-05,7008,2,40.61,10.63,11.82,1.28,12.02,4.44,0.42
2022-11-06,7007,13,87.21,23.31,15.28,3.73,15.68,18.86,10.36
2022-11-06,7008,18,61.67,13.9,17.22,2.42,17.17,7.97,2.99
2022-11-07,7008,9,252.91,15.72,40.27,2.49,17.05,174.35,3.02
2022-11-07,7007,13,160.06,19.41,2.33,5.34,16.6,107.62,8.75
2022-11-08,7008,3,554.04,27.26,442.61,18.0,16.31,49.09,0.76
2022-11-09,7007,7,188.91,17.9,63.52,54.86,12.81,32.33,7.49
2022-11-09,7008,2,468.1,24.52,380.25,13.98,16.55,26.43,6.38
