date,primemover_id,time,travel_empty,stopped_empty,loading,travel_loaded,stopped_loaded,dumping,nett_cycle_time
2022-05-23,7008,15:49:41,0.0,109.31,0.0,0.0,24.31,1.3,134.92
2022-05-23,7008,19:56:02,0.0,2.93,0.0,0.0,0.0,0.87,3.8
2022-05-23,7008,19:59:50,0.0,0.65,0.0,0.0,0.0,0.55,1.2
2022-05-23,7008,20:01:02,0.0,41.82,0.0,0.0,0.0,0.88,42.7
2022-05-23,7008,20:43:44,1.34,93.25,1.53,23.12,59.64,4.21,183.08
2022-05-23,7008,23:46:49,0.05,0.08,0.0,0.0,0.0,73.07,73.21
2022-05-24,7008,01:00:01,18.44,2.49,11.92,18.02,0.0,6.68,57.54
2022-05-24,7008,01:57:34,16.2,0.3,14.02,19.46,8.67,4.55,63.2
2022-05-24,7008,03:00:46,16.24,8.54,30.95,19.6,0.0,9.68,85.0
2022-05-24,7008,04:25:46,16.42,0.2,10.13,18.73,2.42,3.33,51.23
2022-05-24,7008,05:17:00,15.77,0.25,16.81,22.9,1.05,0.75,57.53
2022-05-24,7008,07:04:38,16.56,0.68,7.92,17.43,0.0,2.88,45.47
2022-05-24,7008,07:50:06,15.28,0.15,9.99,18.48,0.78,3.03,47.73
2022-05-24,7008,08:37:50,16.28,0.08,7.9,17.75,0.08,3.12,45.2
2022-05-24,7008,09:23:02,16.5,1.6,0.08,21.62,4.27,9.66,53.73
2022-05-24,7008,10:16:46,16.09,4.89,7.75,18.22,0.49,4.78,52.2
2022-05-24,7008,11:08:58,15.8,0.17,7.26,19.33,0.0,9.57,52.12
2022-05-24,7008,12:14:04,16.5,112.08,0.0,9.01,13.89,2.14,153.61
2022-05-24,7008,15:44:22,16.05,0.47,4.36,20.2,7.33,2.38,50.78
2022-05-24,7008,16:35:09,12.02,11.39,3.9,19.07,1.73,2.57,50.67
2022-05-24,7008,17:25:49,15.15,0.13,6.19,18.78,2.63,2.37,45.28
2022-05-24,7008,18:58:16,17.43,3.01,3.0,19.55,34.47,2.75,80.22
2022-05-24,7008,20:19:13,16.95,28.07,7.08,18.7,4.51,2.68,78.0
2022-05-24,7008,21:37:13,15.48,0.22,6.03,18.69,3.24,2.65,46.31
2022-05-24,7008,22:23:32,15.99,9.63,4.01,19.69,27.42,2.31,79.07
2022-05-24,7008,23:42:36,19.88,53.5,14.11,18.56,0.76,2.44,109.22
2022-05-25,7008,02:29:20,16.12,12.16,8.6,16.95,0.5,2.48,56.8
2022-05-25,7008,03:26:08,15.73,2.47,8.6,18.38,50.5,3.07,98.75
2022-05-25,7008,05:04:53,14.92,0.12,9.16,16.57,0.0,14.97,55.74
2022-05-25,7008,06:12:22,14.6,1.95,17.04,20.5,12.1,2.29,68.46
2022-05-25,7008,08:29:50,15.38,31.42,7.68,18.12,3.78,2.3,78.69
2022-05-25,7008,09:48:31,12.48,0.55,3.9,22.31,2.62,2.56,44.4
2022-05-25,7008,10:32:55,13.7,11.4,3.41,20.68,2.61,2.43,54.22
2022-05-25,7008,11:27:09,16.3,0.45,4.77,18.75,0.98,2.34,43.58
2022-05-25,7008,12:11:10,16.59,0.65,9.69,17.98,0.82,2.33,48.05
2022-05-25,7008,13:42:34,15.9,0.25,4.08,19.1,3.87,2.2,45.4
2022-05-25,7008,14:27:58,16.47,15.89,5.62,17.99,4.8,2.25,63.02
2022-05-25,7008,15:30:59,15.17,4.92,7.41,18.23,0.59,2.3,48.62
2022-05-25,7008,16:19:36,20.01,8.98,7.18,21.36,1.59,2.29,61.4
2022-05-25,7008,17:21:00,15.05,0.15,6.64,19.04,0.0,2.39,43.25
2022-05-25,7008,18:20:20,15.38,16.48,7.19,17.3,0.63,2.35,59.34
2022-05-25,7008,20:23:56,12.84,0.3,9.23,20.41,4.86,2.64,50.27
2022-05-25,7008,21:14:12,14.67,0.23,6.97,18.79,0.54,2.24,43.44
2022-05-25,7008,21:57:38,13.33,0.6,8.77,20.64,10.58,2.42,56.33
2022-05-25,7008,22:53:58,15.01,4.67,12.79,17.9,0.84,2.5,53.71
2022-05-25,7008,23:47:40,56.71,5.68,11.84,18.81,4.39,2.53,99.96
2022-05-26,7008,02:06:35,15.19,10.26,10.42,17.97,9.77,2.28,65.9
2022-05-26,7008,03:12:29,14.67,0.15,8.82,17.47,0.97,2.39,44.46
2022-05-26,7008,03:56:56,13.46,12.16,15.14,19.03,2.46,2.5,64.74
2022-05-26,7008,05:01:41,22.44,44.85,7.0,15.91,0.38,2.16,92.72
2022-05-26,7008,07:56:45,19.55,34.86,12.5,12.98,0.67,2.35,82.9
2022-05-26,7008,09:19:39,15.16,0.0,17.12,17.86,0.4,2.69,53.22
2022-05-26,7008,10:12:52,12.8,0.0,19.85,21.28,0.51,2.2,56.64
2022-05-26,7008,11:09:30,13.65,0.22,6.75,23.67,5.08,2.4,51.79
2022-05-26,7008,12:02:10,14.85,21.53,0.0,1.48,44.05,2.37,84.28
2022-05-26,7008,14:26:42,0.0,25.18,0.0,0.0,20.55,2.5,48.23
2022-05-26,7008,15:14:56,0.84,75.33,9.65,17.1,0.0,3.17,106.08
2022-05-26,7008,17:01:01,17.9,2.9,10.67,18.07,23.26,2.22,75.03
2022-05-26,7008,18:57:57,0.52,19.32,6.9,19.4,1.45,2.27,49.85
2022-05-26,7008,20:13:33,16.47,0.07,6.88,20.03,5.52,2.4,51.37
2022-05-26,7008,21:04:55,15.44,17.94,8.89,18.45,0.6,2.25,63.57
2022-05-26,7008,22:08:29,14.57,7.67,19.65,20.43,1.89,2.45,66.64
2022-05-26,7008,23:15:08,16.44,1.8,13.78,77.42,1.61,2.47,113.52
2022-05-27,7008,01:08:39,17.57,0.42,14.67,17.23,0.41,2.33,52.63
2022-05-27,7008,02:01:17,14.57,5.53,10.73,21.76,1.29,2.31,56.2
2022-05-27,7008,02:57:28,6.97,9.77,0.0,27.03,5.2,2.24,51.22
2022-05-27,7008,03:48:42,19.39,0.95,9.44,22.32,35.81,2.21,90.12
2022-05-27,7008,05:18:49,15.57,11.81,8.94,21.42,0.0,2.4,60.12
2022-05-27,7008,06:21:31,14.54,3.09,18.5,20.85,4.6,3.85,65.43
2022-05-27,7008,08:09:57,12.39,0.15,16.6,19.66,1.16,3.38,53.36
2022-05-27,7008,09:03:19,13.05,0.22,1.47,21.82,9.4,2.69,48.64
2022-05-27,7008,09:51:57,14.89,3.65,14.07,18.22,0.41,2.58,53.81
2022-05-27,7008,10:45:46,30.59,33.15,427.91,38.95,3.37,2.2,536.15
